breed;size;exercise;size_home;grooming;coat_length;sheeds;life_time;vulnerable_breed;town_country;garden_size;BREED_CATEGORY;BREED_CATEGORY_DESCRIPTION;BREED_ISSUES
Deerhound;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Dobermann;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Dogue de Bordeaux;Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
English Setter;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
English Toy Terrier (Black & Tan);Small;Up to 30 minutes per day;Flat/ Apartment;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Entlebucher Mountain Dog (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Estrela Mountain Dog;Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Under 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Eurasier;Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Finnish Lapphund;Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Finnish Spitz;Small-Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Fox Terrier (Smooth);Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Fox Terrier (Wire);Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Foxhound;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 12 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
French Bulldog;Small;Up to 1 hour per day;Flat/ Apartment;Once a week;Short;Yes;Over 10 years;Yes;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;French Bulldogs are charming and full of personality   but they are also vulnerable to several health challenges. Like other flat-faced breeds   they commonly suffer from brachycephalic airway syndrome   which can lead to noisy breathing   snoring   and difficulty in hot or humid conditions. Luxating patellas are also frequently seen in French Bulldogs   potentially causing joint discomfort or mobility issues. Skin allergies are another concern   often leading to itching   redness   and irritation that may require special diets or treatments. Additionally   they are at risk for intervertebral disc disease (IVDD)   a spinal condition that can cause back pain or even mobility loss.
German Longhaired Pointer;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
German Pinscher;Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
German Shepherd Dog;Large;More than 2 hours per day;Large house;More than once a week;Short & long;Yes;Over 10 years;No;Either;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
German Shorthaired Pointer;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
German Spitz (Klein);Small;Up to 1 hour per day;Flat/ Apartment;Every day;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
German Spitz (Mittel);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
German Wirehaired Pointer;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Giant Schnauzer;Large;More than 2 hours per day;Large house;Every day;Medium;No;Over 12 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Glen Of Imaal Terrier;Small;Up to 1 hour per day;Small house;More than once a week;Medium;No;Over 10 years;No;Country;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Gordon Setter;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Grand Bleu De Gascogne (Imp);Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Great Dane;Extra large;More than 2 hours per day;Large house;Once a week;Short;Yes;Under 10 years;Yes;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;Great Danes are gentle giants with loving personalities   but their size comes with a predisposition to several serious health concerns. One of the most critical is gastric dilatation-volvulus (GDV)   or bloat   a life-threatening condition where the stomach twists and requires immediate emergency care. Great Danes are also susceptible to Wobbler syndrome   a neurological condition that affects the spine and can cause weakness or coordination issues   particularly in the neck. Joint problems like hip and elbow dysplasia are common as well and can lead to pain and reduced mobility over time.
Great Swiss Mountain Dog;Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Greenland Dog;Large;More than 2 hours per day;Large house;Once a week;Medium;Yes;Over 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Greyhound;Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Over 10 years;No;Either;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Griffon Bruxellois;Small;Up to 30 minutes per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Griffon Fauve De Bretagne (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 10 years;No;Country;Small/ medium garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Hamiltonstovare;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Harrier;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 12 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Havanese;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Long;No;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Hovawart;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Hungarian Kuvasz (Imp);Large;Up to 1 hour per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Hungarian Mudi (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Medium;Yes;Over 10 years;No;Country;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Hungarian Puli;Medium;Up to 1 hour per day;Small house;More than once a week;Long;No;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Hungarian Pumi;Small;Up to 1 hour per day;Small house;Once a week;Medium;No;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Hungarian Vizsla;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 12 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Hungarian Wirehaired Vizsla;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Ibizan Hound;Large;More than 2 hours per day;Large house;Once a week;Short;Yes;Over 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Icelandic Sheepdog (Imp);Medium;Up to 1 hour per day;Small house;Once a week;Medium ;Yes;Over 10 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Irish Red & White Setter;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Irish Setter;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Irish Terrier;Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Irish Wolfhound;Extra large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Under 10 years;No;Country;Large garden;HOUND;Breeds originally used for hunting either by scent or by sight. The scent hounds include the Beagle and Bloodhound and the sight hounds such breeds as the Whippet and Greyhound. Many of them enjoy a significant amount of exercise and can be described as dignified, aloof but trustworthy companions.;
Italian Greyhound;Small;Up to 1 hour per day;Small house;Once a week;Short;No;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Italian Spinone;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Jack Russell Terrier;Small;Up to 1 hour per day;Flat/ Apartment;Once a week;Short;Yes;Over 10 years;No;Country;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Japanese Akita Inu;Large;More than 2 hours per day;Large house;More than once a week;Short;Yes;Over 10 years;No;Either;Large garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Japanese Chin;Small;Up to 30 minutes per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Japanese Shiba Inu;Small-Medium;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Japanese Spitz;Small;Up to 1 hour per day;Small house;Every day;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Keeshond;Medium;Up to 1 hour per day;Small house;Every day;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Kerry Blue Terrier;Medium;Up to 1 hour per day;Small house;Once a week;Medium;No;Over 10 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
King Charles Spaniel;Small;Up to 30 minutes per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Komondor;Large;Up to 1 hour per day;Large house;More than once a week;Long;No;Under 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Kooikerhondje;Small;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Korean Jindo (Imp);Medium;Up to 1 hour per day;Small house;More than once a week;Medium;Yes;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Korthals Griffon (Imp);Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Lagotto Romagnolo;Small-Medium;More than 2 hours per day;Small house;More than once a week;Medium;No;Over 12 years;No;Country;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Lakeland Terrier;Small;Up to 1 hour per day;Small house;More than once a week;Short;No;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Lancashire Heeler;Small;Up to 1 hour per day;Flat/ Apartment;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Large Munsterlander;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Either;Large garden;GUNDOG;Dogs that were originally trained to find live game and/or to retrieve game that had been shot and wounded. This group is divided into four categories - Retrievers, Spaniels, Hunt/Point/Retrieve, Pointers and Setters - although many of the breeds are capable of doing the same work as the other sub-groups. They make good companions, their temperament making them ideal all-round family dogs.;
Leonberger;Large;More than 2 hours per day;Large house;Once a week;Medium;Yes;Under 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Lhasa Apso;Small;Up to 1 hour per day;Flat/ Apartment;Every day;Long;No;Over 12 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Lowchen (Little Lion Dog);Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Maltese;Small;Up to 30 minutes per day;Flat/ Apartment;Every day;Long;No;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Manchester Terrier;Small;Up to 1 hour per day;Small house;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TERRIER;Dogs originally bred and used for hunting vermin. 'Terrier' comes from the Latin word Terra, meaning earth. This hardy collection of dogs were selectively bred to be extremely brave and tough, and to pursue fox, badger, rat and otter (to name but a few) above and below ground. Dogs of terrier type have been known here since ancient times, and as early as the Middle Ages, these game breeds were portrayed by writers and painters.;
Maremma Sheepdog;Large;More than 2 hours per day;Large house;More than once a week;Medium;Yes;Over 10 years;No;Country;Large garden;PASTORAL;The Pastoral Group consists of herding dogs that are associated with working cattle, sheep, reindeer and other cloven footed animals.;
Mastiff;Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Under 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
Miniature Pinscher;Small;Up to 30 minutes per day;Flat/ Apartment;Once a week;Short;Yes;Over 12 years;No;Either;Small/ medium garden;TOY;The Toy breeds are small companion or lap dogs. Many of the Toy breeds were bred for this capacity although some have been placed into this category simply due to their size. They should have friendly personalities and love attention. They do not need a large amount of exercise and some can be finicky eaters.;
Miniature Schnauzer;Small;Up to 1 hour per day;Flat/ Apartment;More than once a week;Medium;No;Over 10 years;No;Either;Small/ medium garden;UTILITY;This group consists of miscellaneous breeds of dog mainly of a non-sporting origin, including the Bulldog, Dalmatian, Akita and Poodle. The name ‘Utility’ essentially means fitness for a purpose and this group consists of an extremely mixed and varied bunch, most breeds having been selectively bred to perform a specific function not included in the sporting and working categories. Some of the breeds listed in the group are the oldest documented breeds of dog in the world.;
Neapolitan Mastiff;Large;Up to 1 hour per day;Large house;Once a week;Short;Yes;Under 10 years;No;Country;Large garden;WORKING;Over the centuries these dogs were selectively bred to become guards and search and rescue dogs. Arguably, the working group consists of some of the most heroic canines in the world, aiding humans in many walks of life, including the Boxer, Great Dane and St. Bernard. This group consists of the real specialists in their field who excel in their line of work.;
