"DOG_NAME","breed","age","gender","description","shelter_address","shelter_name"
Balu,Airedale Terrier,"3 years",Male,My name is Balu and I came to the animal shelter because of a seizure.,"Alfred-Gärtner-Platz 3, 97525 Schwebheim, Germany",Tierheim Schwebheim
Fee,Am.Bulldog-Mischling,"6 years",Female,"Why am I so happy? So happy, so happy... I'm extremely happy... I've never been so happy... I'm a happy-go-lucky person through and through. The sun shines on me every day. I prefer to keep quiet about my past and look positively to the future. I'm looking for loving people who want to stick with me through thick and thin... Speaking of fat, no, they're just heavy bones, but my carers have put me on a strict diet so I can start next summer with my bikini body. I'm looking for steadfast people who can handle over 34 kg of pure joy and love. Contact my staff at 0234/295950 and ask for Fee, affectionately known as Pummel Fee.","Kleinherbeder Straße 23, 44892 Bochum, Germany",Tierheim Bochum
Sancho,Siberian Husky,"11 years",Male,"
","Alfred-Gärtner-Platz 3, 97525 Schwebheim, Germany",Tierheim Schwebheim
Boomer, Boxer- Schäferhund Mischling,"2 years",Male,"Boomer, male
Age: 12 months (born October 16, 2023)
Gender: male
For Boomer, we are looking for active two-legged friends who will train and guide him lovingly and with natural confidence, giving him a wonderful life. Information on compatibility with other dogs will follow.","Blumenower Straße 3, 16798 Fürstenberg/Havel, Germany",Tierschutzverein OHV e.V.
Fiete,Australian Shepherd,"4 years",Male,"My name is Fiete, and I came to the Schwebheim animal shelter as a surrendered dog. I'm initially a bit skeptical of strangers, but I'm easily persuaded with a toy. As is typical for my breed, I'm very agile and like to be kept busy, so I'm looking for new owners who are familiar with my breed. Older, stable children wouldn't be a problem for me. I get along with other dogs, depending on how well they get along. I still need to test out cats. I've already learned to walk on a leash. Otherwise, I would still recommend dog training.","Alfred-Gärtner-Platz 3, 97525 Schwebheim, Germany",Tierheim Schwebheim
Dietrich,Mischling,"2 years",Male,"Dietrich is a young, neutered mixed-breed male, born on February 28, 2023. He is a lovable, intelligent dog who still has a lot to learn. Dietrich has primarily lived in a kennel so far and is now looking for an experienced home that will provide him with the security and structure he needs.
Dietrich is playful and affectionate with his caregivers, but shows insecurity around strangers. If harassed, he may rush forward, which is why calm and experienced handling is important. He knows basic commands like ""sit"" and ""down"" and wears a muzzle when necessary.
Dietrich gets along well with other dogs, but cats and small animals should not live in his new home, as he has a strong hunting instinct. Children are also not suitable roommates for Dietrich – he may have had bad experiences in the past.
We are looking for a sensitive, child-free home for Dietrich with people who enjoy showing him the world with patience and consistency. With the right support and time, he will become a loyal companion with plenty of love to give.","Benk 13, 84347 Pfarrkirchen, Deutschland",Tierheim Benk
Bianca,Deutscher Schäferhund,"3 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Beere,Pit Bull Mix,"4 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Findus,Rottweiler,"9 years",Male,"Findus was found, so unfortunately we know nothing about his story. This handsome male is a lively, self-confident, and personable fellow. He reacts suspiciously towards strangers; he simply needs time to gain trust in new people. Findus is intelligent and very docile; handling him requires a great deal of sensitivity. He is a typical Rottweiler who takes his job as a guard very seriously and also acts accordingly self-confident. As a dog handler, you have to be able to cope with that. Despite his friendly face, Findus is not at all a cuddly bear, as he finds closeness very strange. So, extensive cuddles are not Findus's thing, although he does, of course, allow his closest caregivers to rub his belly occasionally. But not from everyone, and only in very small doses. Findus is already used to riding in a car.
Wearing a muzzle is no problem for this proud male, as long as the muzzle is consistently associated with positive things and used in everyday life. He also gets along well with female dogs, especially Rottweiler girls.
For Findus, we are looking for people with extensive experience with dogs, preferably with this breed, who have plenty of patience and time to offer him safe guidance and who can visit him several times at our animal shelter to get to know him. His new home should be in a rural location. He is not suitable for a family with children or as a second dog. Please note that landlord permission is required.
If you would like to give Findus a home, please contact his animal caretakers at the Idefix House at +49 30 76 888 173.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Acani ,Mischling,"3 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Simba,Labradoodle,"4 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Phelan,Schäferhund,"14 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Leila ,Labrador Mischling ,"3 years",Female,"Leila in need – Who will finally give her a chance?
Leila is a special dog who is urgently looking for a home with experience with dogs. She was given to an animal shelter as a puppy and has now unfortunately had to return for the second time. These changing living conditions have not been good for her sensitive soul and are certainly partly the cause of her mistrust and insecurity.
Leila's cheeky nature is merely a defense strategy – she makes a loud noise when she feels insecure. But beneath the facade lies a loyal companion who needs confident and patient people who will encourage and challenge her. With the right guidance and a lot of understanding, Leila can learn to regain trust and feel safe.
A home without other animals would be ideal for Leila, as she needs her owners' full attention. She's a rescue dog who's finally looking for stability and peace to find peace and quiet.","Zur Angel 20, 59227 Ahlen, Germany",Tierheim Ahlen
Lilli ,Mischling ,"4 years",Female,"Lilly has a big mouth – but only out of insecurity. She initially tries to chase away anything she doesn't quite trust by barking. If that doesn't work, curiosity gets the better of her, and she slowly begins to approach people, seeing if they might actually be nice. She needs a loving and patient family where she can set the pace to thaw out. Then she'll surely turn into a wonderful little princess. Lilly generally gets along well with other dogs and cats.","Zur Angel 20, 59227 Ahlen, Germany",Tierheim Ahlen
Merlin,Australian Shepherd,"6 years",Male,"Merlin's living conditions in his old home changed so drastically that he could no longer stay there. Therefore, we are looking for a new home for him.
Merlin is friendly towards people and dogs, although a little insecure at first. He loves being outdoors with his owners and exploring the world. At the same time, he also loves to cuddle with his owners. We are looking for people for Merlin who also enjoy exercise and are perhaps familiar with his breed, so that they can actively encourage him and keep him busy. Merlin is not neutered.","Hegnauhofweg 105, 73614 Schorndorf, Deutschland",Tierschutzverein Schorndorf u.U. e.V.
Flo - süßer Troll sucht geduldige Menschen,Mischling,"3 years",Male,"Flo wurde angeboten ""wer möchte ihn geschenkt haben"". Es war zu turbulent in der Familie und er lernte sich mit Wegschnappen zu wehren. Flo kommt ursprünglich aus Rumänien und nach vielen Recherchen haben wir den ursprünglichen Vermittlungsverein ausfindig gemacht, der aber kein Interesse mehr an dem Hund hatte und ihn nicht wieder zurücknahm.
Flo wird es in der jungen Familie mit den Kindern einfach zu turbulent zugegangen sein und das Einzige, was er machen konnte, um mehr Ruhe zu bekommen, war zuzuschnappen. Leider hat Flo dadurch sein Vertrauen in den Menschen verloren und gelernt, bei allem, was ihm Angst macht, nach vorne zu gehen. Was aber nicht bedeutet, dass Flo nicht vermittelbar ist. Sein Pflegefrauchen kann alles mit ihm machen, dort zeigt er sich als ganz verschmuster, lustiger Kerl.
Flo ist eine Aufgabe, die viel Spaß bringen kann, wenn man Zeit und Geduld hat und sich auf positives Training einlässt. Es ist wunderbar, wenn aus so einem kleinen unsicheren Energiebündel dann ein Hund wird, der sich auf seine Menschen verlassen kann.
UPDATE (Juni 2025): Ein unglaublich süßer Troll, aber er hat seine Macken z.B. mit fremden Leuten, Tierarzt und Fahrradfahrern. Wobei er viele Sachen mitlerweile gut meistert.","Mitteldorfstraße 2, 37127 Niemetal, Deutschland",Aktiv für Hunde in Not e.V.
Jamie ,Schäfer-Aussie-Mix,"6 years",Male,"Jamy has now lost his home twice and is now looking for a PERMANENT HOME who will stick with him through thick and thin and work with him on his problems. Jamy is a dog with a lot of temperament and energy. He knows basic commands, is house trained and gets along well with bitches and neutered males off the leash. However, Jamy has a real problem on the leash when meeting other dogs and is leash aggressive. Here he uses all his physical strength and it is difficult to get him out of this state of excitement. Jamy is familiar with dog training and should continue to attend dog training. So far he has not found a way to cope with his frustration. So he is a dog with areas to work on. This requires understanding, dog experience and perseverance. Jamy will thank you for these three things with his endless love and as a best friend. Due to his breed bond, he has a lot of drive and a willingness to work and learn. Key data: Jamy, German Shepherd/Aussie mix, born October 1, 2019, house-trained, active, good basic obedience (sit, stay, etc.), rides in the car, off-leash, friendly with other dogs (female, neutered), leash-pushing, active","Breitfeld 2, 94447 Plattling, Deutschland",Tierheim Plattling
Timba,Husky-Mix,"6 years",Male,"Timba came to us from a rescue. Unfortunately, there have been bite incidents with humans, which is why he must be muzzled and leash-wearing. Timba is very fond of other female dogs and could therefore be adopted as a second dog. Timba also defends resources such as his food or toys.
His new owners should have experience with more difficult dogs and be equally active—he has a lot of energy. Timba would like to move into a home with a fenced yard. Children should not live in the household. To get to know Timba, you should plan several visits to the shelter. Once he gains trust, he is very personable; however, he doesn't like strangers very much.
If you would like to give Timba a home, please send an email with your phone number to tiervermittlung@tierschutz-berlin.de. We look forward to hearing from you.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Pino,Mischling,"11 years",Male,"Once Pino has taken a liking to someone, he'll happily stick with them and is a loyal and gentle companion. Pino is a quiet companion and is unfortunately often overlooked in his search for a good home. He doesn't like hectic surroundings. Crowds, confined spaces, and unfortunately, even children, cause him stress. If you enjoy the tranquility of nature and like a cozy home, then the ideal companion is waiting for you here. With strangers and dogs, Pino initially requests his personal space and is wary of strangers. If you don't pressure him, you've taken the first step toward becoming his friend. Dog-friendly cats are no problem for Pino. Pino rarely goes by car, but he handles it perfectly. Pino also works very well at home alone for up to about four hours. Who recognizes Pino's gentle soul and would like to spend life with him?","Rotkäppchenweg 24, 42111 Wuppertal, Germany",Tierschutzverein Pechpfoten e.V.
Rava,American Staffordshire,"3 years",Female,"Rava came to us as a stray dog and hasn't been missed yet.
Rava is motivated by hunting; small animals/cats and small children should not be in her new home.
When she sees water, no matter what form it takes, Ariel the Little Mermaid also appears.
When we go for a walk, she's currently mutating into a little rocker girl when she meets other dogs.","67227 Frankenthal, Deutschland",Tierheim Frankenthal
Thea,Cane Corso,"2 years",Female,"Thea was rescued and, as a puppy, only knew life in a stable and outside. Thanks to intensive training with our dog trainer, Thea has developed into a wonderful dog with great self-confidence.
Unfortunately, she has developed health problems that will accompany her for the rest of her life. Thea has a head tremor and tends to have a wobbly, uncoordinated gait. As expected, her symptoms worsen when she is excited. An MRI and a cerebrospinal fluid test were unremarkable. Due to her limitations, we would like Thea to be housed on the ground floor. To live a long and as healthy a life as possible, Thea needs continued support in the form of nutritional supplements and physical therapy to build muscle.
We are looking for people for Thea who have experience in dealing with dogs with special needs and strong characters. Thea needs consistent leadership to compensate for her lack of socialization. We therefore recommend that children in the household should already be teenagers.","Augustfehner Straße 8, 26670 Uplengen, Germany",Tierheim Jübberde
Fidibus,Mischling,"",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Cody,tschechoslowakischer Wolfshund,"3 years",Male,"Cody is a young and spirited TWH male who is outgoing in his familiar home, but initially rather insecure in unfamiliar surroundings.
We are looking for people who have experience with and are familiar with the breed.
The household should be free of cats and small children, and only suitable for children over the age of 15.","Ausbau 2a, 39288 Burg (bei Magdeburg), Deutschland",Tierheim Burg/Schartau
Kiki,Schäferhündin,"5 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Paco,Staffordshire-Mix,"4 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Melinda,Kaukasischer HSH,"2 years",Female,"Melinda is a Caucasian Shepherd Dog. She came to us with her sister Marina as a foster home from poor conditions.
We worked extensively with Melinda and paired her with canine partners who socialize with people to gain her trust.
For Melinda, we are looking for confident owners who demonstrate clear leadership and a rural environment with a well-fenced property.","Ausbau 2a, 39288 Burg (bei Magdeburg), Deutschland",Tierheim Burg/Schartau
Bibo,Mischling,"3 years",Male,"Mixed-breed male Bibo, estimated to be about three years old, came to the shelter this summer as a stray. Therefore, nothing can be said about his past. Initially, he spent a few days with his finders. Apparently, no one misses Bibo. In the shelter, the young male gives the impression that he hasn't experienced much in his life yet. Therefore, there is a lot of catching up to do.
It is questionable whether he can be left alone. He acts very excitedly around strangers and barks at them. This initial skepticism eventually subsides. Once Bibo has thawed out, he reveals himself to be an open-minded young dog who enjoys being petted.
Overall, Bibo is rather skeptical of everything new, so he needs to be introduced to many things gradually, such as silent encounters on a leash. He gets along quite well with other dogs, depending on their sympathy. There should be no children in his new home, as this would certainly be overwhelming for everyone involved. Bibo needs people who provide him with security and are willing to work with him.","Dingstiege 71, 48155 Münster, Deutschland",Tierschutz-Verein Münster und Umgegend e.V.
Baghira,Mischling,"3 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Fino,Rottweiler,"5 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Lino,Mischling,"3 years",Male,"Our Lino is a real whirlwind! Unfortunately, he can also be boisterous and unruly at times. Basically, our Lino is a really great guy. He's playful, very affectionate and cuddly with people he knows. He's eager to learn and super intelligent with lots of energy. A true sports star with a clever mind. Unfortunately, Lino also has another side. A side characterized by insecurities and a certain hunting instinct. Lino also has a problem with men and strangers. As long as you lead him confidently and make decisions for him, he shows his good side and is very friendly towards people. We would like him to find a home with dog experience. You should be willing and enjoy working with him and having some adventures.","Kleinherbeder Straße 23, 44892 Bochum, Germany",Tierheim Bochum
Torben,Australian Shepherd,"10 years",Male,"






","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Cub,Malinois-Mix,"2 years",Male,"Young Cub came to us as a stray. He's a Malinois mix, a dedicated working dog, and despite his young age, he's already exhibiting problematic behaviors that urgently need to be addressed: He's sensitive to stress and is completely overstimulated in the shelter, making it difficult for him to calm down. At the same time, he's also very sensitive and doesn't tolerate pressure—he tends to engage in displacement behaviors, biting things nearby (including trouser legs, etc.). He also hasn't yet learned to be friendly toward strangers and other dogs. He needs to be handled confidently so he can become more relaxed in new situations. Currently, the mere sight of other people triggers him to attack while on the leash.
Cub is very attentive, docile, and eager to work. He is looking for a home with dedicated people who will keep him meaningfully occupied and busy, and ideally have experience with working dogs. Due to his existing behavioral problems, he is NOT suitable for protection dog sports. However, a calm, focused dog sport would be perfect for him. Mantrailing or Hoopers, for example, are suitable for this. Cub already knows basic commands like sit and stay, but he doesn't yet carry them out with concentration with us. We are working on his leash training, and he also enjoys being taught new things by his owners. In general, he forms a strong bond with ""his owners"" after the second introduction.
Cub is still young, boisterous, and somewhat boisterous. With the right training and experienced people, he can become a truly good friend and ""work colleague."" He is not a family dog and unfortunately not suited to living with children. He handles muzzle training well. He is probably only partially suitable as a second dog—but with experienced people and a good getting-to-know-you phase, we can imagine him also moving in with a confident first dog of a suitable age/size/temperament.
Typical for the breed, he is protective of family and property and needs a quieter residential area on the outskirts of town. He is not suited to the bustling city, as he cannot process the many stimuli and reacts with strong displacement behavior. Because his bones are still developing, he shouldn't climb too many stairs.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Iver,Cane Corso Mix,"3 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Oli,Dackel-Labrador-Mix,"3 years",Male,"Oli is a male, vaccinated, and microchipped dachshund-Labrador mix originally from Greece. Oli is a special dog who presents some challenges and is therefore looking for an experienced home.
Description from a dog trainer currently working with Oli:
Oli responds quickly to his caregiver in familiar surroundings. A friendly approach gets him started and he's eager to do something.
Oli has a neutered microchip, but he still marks a lot.","Benk 13, 84347 Pfarrkirchen, Deutschland",Tierheim Benk
Bonny,Old English Bulldog,"7 years",Female,"Bonny is a cuddly, stubborn dog and unfortunately still unruly. She is lively, house-trained, knows basic commands, and is looking for a home with experience with this breed.
Bonny doesn't like other dogs or animals at all. Therefore, she is not suited to a life in the city with lots of dog encounters. She wants her ""territory"" all to herself. Whether she can be left alone is not yet known.
A quieter environment on the outskirts of town or in the countryside would be ideal for Bonny. Children living in the household should be at least 14 years old. Cats should not wait for her. Bonny also has a strong hunting instinct. Please note that due to the breed, Bonny requires a landlord's permit.
If you are interested in Bonny or have any questions about her, please fill out the form below or contact her animal care team by phone at 030 76 888-173.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Muski,Husky-Mischling,"15 years",Male,"Muski wants to get started again at 13. Yes, that's right, because age is just a number. Admittedly, three-hour walks shouldn't be allowed anymore, but exploring the countryside for an hour at a time is definitely possible. To satisfy his curiosity, the walks can be kept interesting. He's already experienced a lot in his life. From boat trips and flights to long vacation car rides – a worldly dog! Nevertheless, it's time to give him a consistent environment where he can settle in, where there's room for his needs, and where he's seen as a whole again. There should be no cats or small animals in his new home. Will this handsome guy win your heart too?","Rotkäppchenweg 24, 42111 Wuppertal, Germany",Tierschutzverein Pechpfoten e.V.
Grumpy,Langhaar Chihuahua,"15 years",Male,"Microchipped: No, will be done before adoption
In the shelter since/origin: 08.01.2025/Brieselang","Dallgower Straße 104, 14624 Dallgow-Döberitz, Deutschland",Tierschutzverein Tierheim Falkensee und Umgebung e.V.
Einstein,Mischling ,"2 years",Male,"Einstein is a young bundle of energy who still has a lot to learn.
He arrived at our animal shelter some time ago, along with his mother and siblings. The family was affectionately known to us as the ""polar bear family."" Our little heartbreaker was quickly adopted.
Unfortunately, his family had to part with him, which is why the little polar bear is now back at our animal shelter, waiting for his big day.
He is a friendly little fellow who needs a loving but consistent hand. We suspect he's a livestock guardian dog mix, so some dog experience would certainly be an advantage.","Zur Angel 20, 59227 Ahlen, Germany",Tierheim Ahlen
Ava,Deutscher Jagdterrier,"3 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Kooper,Sarplaninac-Mix,"6 years",Male,"I'm Kooper and I'm about five years old.


They couldn't handle us so well there – that's why Britti, the shelter manager, picked us up, because there was even talk of us being presented to an ethics committee.
I'm the tallest of the three of us – but also the cautious one. I'm very skeptical of strangers.","Zeller Straße 1, 97478 Knetzgau, Deutschland",Tierheim Haßberge - Tierschutzinitiative Haßberge e.V. 
Timmi,Mischling,"",Male,"Hey everyone, I'm speaking up now. After being fired from my job as a cleaning lady by the animal shelter staff, I now have to find a new life's work on my own. The cleaning thing really didn't work out. My talents lie more on the emotional side. I love to cuddle and enjoy being petted for hours. After the employees have had their fill of cuddle hormones, I'm happy to move their shoes from the locker room to the kitchen and work on them. Afterward, I romp through the kitchen with my friend Myra, before giving Vilko and Bobina a piece of my mind through the fence. I'm sure you'll agree with me that I absolutely have to get out of here. At my young age (1.5 years old), I want to see more of the world than just here at the animal shelter. Besides, I'm sure my skills can still be improved. I have to admit, I look taller in the photos than I actually am. My shoulder height is max. 40 cm","Beim Tierheim 1, 78532 Tuttlingen, Germany",Kreistierschutzverein Tuttlingen u.U. e.V.
Molly,Border Collie Mix,"2 years",Female,"We adopted Molly, along with Flip and Marie, from one of our member associations. They originally came from an animal hoarding case.
Since Molly is unfamiliar with a leash, collar, or harness, she has to learn the ropes from scratch. For this sensitive dog, we are looking for people with experience with dogs who are patient, calm, and empathetic. Ideally, someone with experience with working dog breeds would be a valuable addition to Molly's new home, providing her with security and serving as a role model.
The adoption process for one of our dogs typically proceeds as follows:","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Blacky,Schäferhund-Mix,"2 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Willi,Mischling,"11 years",Male,"Der Mischlingsrüde Willi landete ursprünglich im Tierheim, weil er mit den vielen Enkelkindern in der Familie überfordert war. Wir haben ihn von einem unserer Mitgliedsvereine übernommen. Willi hatte bereits kurzzeitig ein neues Zuhause, wo es schlussendlich leider nicht funktioniert hat.
In der Vergangenheit gab es bei Willi gelegentlich Probleme, wenn Besucher sein zuhause betreten haben. Dies lässt sich hervorragend durch Management umgehen. Willi ist das Tragen eines Maulkorbes prinzipiell gewohnt, dies muss aber in seinem neuen Zuhause weiterhin trainiert werden. Für Willi suchen wir Personen, die seine teilweise sehr kleinen Signale lesen und akzeptieren können und ihn in schwierigen Situationen unterstützen und ihm Sicherheit geben.
Aufgrund seiner Vorgeschichte wird er nur in einen kinderlosen Haushalt mit hundeerfahrenen Menschen vermittelt. Bei Problemen stehen wir Willis neuer Familie jederzeit mit professioneller Hilfe zur Seite.
Die Vermittlung einer unserer Hunde läuft in der Regel wie folgt ab:","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Cody,Französische Bulldoge,"5 years",Male,"Cody is currently housed in a boarding facility and is receiving a lot of training there: In the dog group, he is social when his owner can give him the appropriate guidance on how to behave with new friends. However, in a domestic setting, he is still a challenge and requires a lot of forward-looking management. He is currently in North Rhine-Westphalia and must be visited there as well. Please contact us if you are interested in Cody.
Cody was surrendered to the animal shelter because his previous owners were overwhelmed. He has bitten people several times, even within his own family. Despite his small size, Cody is a difficult dog, and we will only place him in experienced hands. He defends resources such as food and toys, which is why imitation hunting games are taboo for him. Visits to the vet are an absolute abomination for Cody and are only possible with a muzzle, which he has now associated with positive things and wears very reliably. He has elevated liver values, but is well controlled with medication and currently has no further problems. He will receive free liver treatment at our veterinary practice for life.
This little male is very personable and generally affectionate with people he knows. However, he doesn't like being touched on his back, in the lumbar region, or on his tail—he will then attack without warning. Some malformed vertebrae in his spine suggest that touching this area hurts him.
Cody walks well on a leash and can be led past anyone and everything on walks without any problem. Other dogs are perfectly fine, depending on how well they get along—you don't have to like everyone, but if there's a good enough affinity, we would also be happy to find him a second dog, for example, to a confident and well-socialized female dog. In his previous home, he lived with a Staffie and even cats.","Hausvaterweg 39, 13057 Berlin, Germany",Tierheim Berlin
Akio,Akita Inu,"11 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Drago,Schäferhund-Mix,"4 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Mina,Schäferhund-Malinois-Mix,"1 year",Female,"Hey, I'm Mina! 
I'm friendly, curious, and playful, but with other dogs, I decide who's allowed into my circle of friends—liking is everything!
If you're ready to make every day exciting with me, then let's get to know each other – I promise, it'll never be boring with me!
Here's a short video of me: https://www.youtube.com/shorts/RGrPY6DZM4w","Zeller Straße 1, 97478 Knetzgau, Deutschland",Tierheim Haßberge - Tierschutzinitiative Haßberge e.V. 
Jack,Französische Bulldogge,"6 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Buddy,Border Collie - Cocker Spaniel - Schäferhund - Golden Retriever Mix,"3 years",Male,"Born: April 28, 2022
Shoulder height: 49cm
Our beautiful Buddy is a very affectionate, people-oriented, intelligent, and cuddly dog. Since he didn't receive the necessary consistency and training from an early age, he is overwhelmed in many situations and absolutely needs security and clear instructions about what to do in any situation and how to behave. If he believes you aren't strong enough to lead the pack, he (and his owners) will try to discipline him. Ideally, we would find people for Buddy who are motivated to work with him and, above all, to stimulate him mentally, for example, through search training, agility, dog dancing, etc. Buddy has no problems with other dogs and has shown himself submissive so far. He would be very suitable as a second dog; of course, compatibility will be tested individually.","Am Tierheim 4, 74564 Crailsheim, Deutschland",Tierschutzverein Crailsheim - Tierheim e.V.
Socke,Deutscher Schäferhund,"5 years",Male,"Socke was brought to us with the information that he had been found tied up in the woods somewhere about 10 kilometers from the animal shelter. Unfortunately, we couldn't find an owner or any information about his life so far.
We've named the poor but cool Socke ""Socke"" accordingly and estimate him to be about two to three years old.
Typical German Shepherd, he needs a moment to warm up to new people and situations, but once he's done, he's very affectionate. As an open-minded, but still somewhat insecure dog, he seeks guidance from humans and should – typical of the breed – be given clear structures and rules so that he doesn't become overwhelmed by insecurities or ambiguities.
Socke is cuddly, somewhat uncouth, and enjoys tasks and activities.","Bahnhaus 7, 35043 Marburg, Deutschland",Tierheim Marburg
Bobby ,Mischling ,"3 years",Male,"Bobby is actually a dream dog - just not with strangers...
Our animal shelter isn't the first place Bobby has had to live. And that's probably where his insecurity comes from.
He's a dog who, out of fear, tends to move forward rather than back, and that's why a home with experience with dogs is essential for him.
In his interactions with our animal keepers, Bobby is uncomplicated, extremely friendly, and even cuddly. He also enjoys going for walks and generally gets along well with other dogs.","Zur Angel 20, 59227 Ahlen, Germany",Tierheim Ahlen
James ,Owtscharka-Mix,"3 years",Male,"James, an Ovcharka mix, was born around the beginning of 2022 and is currently unneutered.


James therefore enjoys the opportunity to spend time outdoors, but also with his owner.","Zeller Straße 1, 97478 Knetzgau, Deutschland",Tierheim Haßberge - Tierschutzinitiative Haßberge e.V. 
Nanuk ,Mischling,"2 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Haschiko,Akita Inu – Mischling,"12 years",Male,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
Django ,Staffordshire-Mix,"9 years",Male,"Django - a truly cuddly, cuddly little fellow to adore. This friendly male was surrendered to us due to illness and is now looking for his dream family with the appropriate certificate of competence. He is a very sweet guy with a big heart. He already knows some basic commands and can even be left alone for a few hours. He's also a real water rat! In the summer, he swims laps in the ""dog pool"" for hours and then relaxes completely exhausted in the evening. Due to his weight, he has a lot of strength, which is why we are looking for a home with experience with dogs. Only as an only dog, as he doesn't accept other dogs besides his owner. Django weighs 46 kg and is 57 cm tall. ","Zur Angel 20, 59227 Ahlen, Germany",Tierheim Ahlen
Luce,Maremmano-Mischling,"10 months",Female,"Young Luce happily accompanies her caregivers and curiously explores her surroundings on walks.
Luce is a livestock guardian dog mix, and with these dogs, the behavior of an adult dog develops gradually and much more slowly than with smaller dogs. This means that Luce will remain a ""child"" for quite some time.
Her future owners should be prepared for a certain amount of watchfulness—this is completely normal for livestock guardian dogs.

","Eichholz, 70794 Filderstadt, Germany",Tierschutzverein Tierfreunde Filderstadt e.V.
Ork,Schäferhund,"8 years",Male,"Ork was seized by the veterinary office along with two other dogs and is now waiting at the animal shelter for experienced dog owners. He is very alert and initially very suspicious and tense around strangers. But behind this skepticism lies a loyal dog who is just waiting to gain someone's trust.
Ork doesn't like being left alone yet and likes to pull on the leash, which still needs some work. Despite these small hurdles, Ork has good basic obedience.
Our dogs are dewormed, vaccinated, and microchipped.","Blumenower Straße 3, 16798 Fürstenberg/Havel, Germany",Tierschutzverein OHV e.V.
Flip,Border Collie Mix,"1 year",Male,"We adopted Flip, along with Molly and Marie, from one of our member associations. They originally came from an animal hoarding case.
Since Flip isn't used to a leash, collar, or harness, he has to learn the ropes from scratch. For his further development, he is looking for people with experience with dogs, ideally with experience with working dog breeds. With patience, calmness, and loving consistency, Flip will gain confidence step by step and grow into a loyal companion.
We would like Flip to have a sensitive home where he will have the time and support he needs to gain trust, and with people who want to explore the world with him.
At least three visits to Sonnenhof are planned. These visits are important to us, as this is the time you can get to know your potential foster, and he can get to know you. Before the dog can finally move in with you, we will conduct a preliminary inspection at your home.","Hochkreit 8, 82401 Rottenbuch, Deutschland","Sonnenhof für Mensch und Tier, eine Einrichtung vom Deutschen Tierschutzbund e.V."
Jane,Schäferhund - Hütehund Mix,"4 years",Female,"",https://getbalu.com/pets/dog,https://getbalu.com/pets/dog
"DALILA - ruhig, klug, sozialverträglich",Maremmano-Mix,"4 years",Female,"Short & Crisp
born on June 1, 2021
approximately 60 cm
house-trained","27308 Kirchlinteln, Deutschland",Kahu Cani e.V.
